date,time,seconds,state,sensor_name,thing_name,thing_ip
06/11/24,13:06,1718129202.9437993,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,13:06,1718129203.188411,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:08,1718140088.8812628,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:08,1718140089.9600132,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:08,1718140120.9257276,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:08,1718140121.9987495,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:16,1718140612.575868,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:16,1718140613.4762588,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:16,1718140618.5841963,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:16,1718140619.4843066,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:48,1718142516.7762651,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,16:48,1718142517.57272,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,17:05,1718143552.7158651,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,17:05,1718143553.9818444,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,19:01,1718150476.065381,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/11/24,19:01,1718150476.316636,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:23,1718198626.6370437,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:23,1718198627.6188748,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:32,1718199123.22302,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:32,1718199124.1593692,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:56,1718200601.776858,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:56,1718200602.941328,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:56,1718200617.794394,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:56,1718200618.961377,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:57,1718200633.8134928,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:57,1718200634.981372,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:57,1718200653.0041933,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:57,1718200653.837576,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:57,1718200659.0125923,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:57,1718200659.845405,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:58,1718200681.871447,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:58,1718200683.039205,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:58,1718200687.0448818,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:58,1718200687.8792748,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:58,1718200697.0579047,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:58,1718200697.8921394,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:58,1718200701.897983,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,08:58,1718200703.0644214,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:00,1718200808.012162,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:00,1718200809.190086,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:00,1718200817.2007864,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:00,1718200818.0245757,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:01,1718200861.2532332,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:01,1718200862.075567,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:01,1718200883.2795029,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:01,1718200884.1016676,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:14,1718201652.9502172,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:14,1718201654.1801355,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:14,1718201664.9648073,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:14,1718201666.19545,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:15,1718201752.2967234,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:15,1718201753.0592782,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:16,1718201795.107395,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:16,1718201796.3490348,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:40,1718203242.7009711,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:40,1718203244.0614612,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:41,1718203260.0817757,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:41,1718203260.7210426,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:41,1718203294.1237404,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:41,1718203294.7624116,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:43,1718203428.2837217,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,09:43,1718203428.9109929,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,10:12,1718205152.2892008,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,10:12,1718205152.8166523,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,10:12,1718205162.8289578,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,10:12,1718205164.3045173,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,10:14,1718205242.3944266,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,10:14,1718205242.916623,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,10:14,1718205246.400832,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,10:14,1718205246.9220583,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:22,1718209375.2467396,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:22,1718209375.4500906,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:26,1718209591.4967911,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:26,1718209591.6944275,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:27,1718209673.596459,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:27,1718209673.786706,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:36,1718210166.165811,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:36,1718210166.3381455,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:44,1718210690.9194765,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,11:44,1718210692.781854,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,13:03,1718215410.1038303,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,13:03,1718215410.2600262,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,13:10,1718215856.5935,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,13:10,1718215856.775772,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:24,1718220265.4414055,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/12/24,14:24,1718220265.86422,0.0,Door Sensor,Back Door Pi,192.168.86.151
